Season,RaceName,Circuit,Session,Driver,Team,LapNumber,LapInStint,Compound,Stint,LapTimeSec,NormalizedPace,Sector1Sec,Sector2Sec,Sector3Sec,Position,TrackStatus,TrackType
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,54.0,23,HARD,2.0,96.749,1.0239506381897847,28.672,41.034,27.043,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,55.0,24,HARD,2.0,96.786,1.0243422305950087,28.613,41.01,27.163,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,56.0,25,HARD,2.0,97.197,1.0286920813665517,28.723,41.176,27.298,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,57.0,26,HARD,2.0,98.849,1.0461761530808797,28.836,41.398,28.615,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,58.0,27,HARD,2.0,97.734,1.03437546303156,29.021,41.423,27.29,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,59.0,28,HARD,2.0,96.948,1.0260567703151788,28.666,41.127,27.155,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,60.0,29,HARD,2.0,96.631,1.0227017759244756,28.564,40.969,27.098,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,61.0,30,HARD,2.0,96.82,1.024702072264674,28.686,41.15,26.984,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,NOR,McLaren,62.0,31,HARD,2.0,97.922,1.036365175793239,28.662,41.387,27.873,1.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,2.0,1,MEDIUM,1.0,98.79,1.045551721948225,29.027,41.805,27.958,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,3.0,2,MEDIUM,1.0,98.917,1.0468958364202103,29.353,41.641,27.923,2.0,1,Street
2024,Pre-Season Testing,Singapore Grand Prix,Race,VER,Red Bull Racing,4.0,3,MEDIUM,1.0,98.47,1.042164976821963,29.193,41.518,27.759,2.0,1,Street
